"Role","ID"
"Contributor","b24988ac-6180-42a0-ab88-20f7382dd24c"
"Owner","8e3af657-a8ff-443c-a75c-2fe8c4bcb635"
"Reader","acdd72a7-3385-48ef-bd42-f606fba81ae7"
"User Access Administrator","18d7d88d-d35e-4fb5-a5c3-7773c20a72d9"
"Classic Virtual Machine Contributor","d73bb868-a0df-4d4d-bd69-98a00b01fccb"
"Virtual Machine Administrator Login","1c0163c0-47e6-4577-8991-ea5c82e286e4"
"Virtual Machine Contributor","9980e02c-c2be-4d73-94e8-173b1dc7cf3c"
"Virtual Machine User Login","fb879df8-f326-4884-b1cf-06f3ad86be52"
"CDN Endpoint Contributor","426e0c7f-0c7e-4658-b36f-ff54d6c29b45"
"CDN Endpoint Reader","871e35f6-b5c1-49cc-a043-bde969a0f2cd"
"CDN Profile Contributor","ec156ff8-a8d1-4d15-830c-5b80698ca432"
"CDN Profile Reader","8f96442b-4075-438f-813d-ad51ab4019af"
"Classic Network Contributor","b34d265f-36f7-4a0d-a4d4-e158ca92e90f"
"DNS Zone Contributor","befefa01-2a29-4197-83a8-272ff33ce314"
"Network Contributor","4d97b98b-1d4f-4787-a291-c67834d212e7"
"Private DNS Zone Contributor","b12aa53e-6015-4669-85d0-8515ebb3ae7f"
"Traffic Manager Contributor","a4b10055-b0c7-44c2-b00f-c7b5b3550cf7"
"Avere Contributor","4f8fab4f-1852-4a58-a46a-8eaf358af14a"
"Avere Operator","c025889f-8102-4ebf-b32c-fc0c6f0c6bd9"
"Backup Contributor","5e467623-bb1f-42f4-a55d-6e525e11384b"
"Backup Operator","00c29273-979b-4161-815c-10b084fb9324"
"Backup Reader","a795c7a0-d4a2-40c1-ae25-d81f01202912"
"Classic Storage Account Contributor","86e8f5dc-a6e9-4c67-9d15-de283e8eac25"
"Classic Storage Account Key Operator Service Role","985d6b00-f706-48f5-a6fe-d0ca12fb668d"
"Data Box Contributor","add466c9-e687-43fc-8d98-dfcf8d720be5"
"Data Box Reader","028f4ed7-e2a9-465e-a8f4-9c0ffdfdc027"
"Data Lake Analytics Developer","47b7735b-770e-4598-a7da-8b91488b4c88"
"Reader and Data Access","c12c1c16-33a1-487b-954d-41c89c60f349"
"Storage Account Contributor","17d1049b-9a84-46fb-8f53-869881c3d3ab"
"Storage Account Key Operator Service Role","81a9662b-bebf-436f-a333-f67b29880f12"
"Storage Blob Data Contributor","ba92f5b4-2d11-453d-a403-e96b0029c9fe"
"Storage Blob Data Owner","b7e6dc6d-f1e8-4753-8033-0f276bb0955b"
"Storage Blob Data Reader","2a2b9908-6ea1-4ae2-8e65-a410df84e7d1"
"Storage Blob Delegator","db58b8e5-c6ad-4a2a-8342-4190687cbf4a"
"Storage File Data SMB Share Contributor","0c867c2a-1d8c-454a-a3db-ab2ea1bdc8bb"
"Storage File Data SMB Share Elevated Contributor","a7264617-510b-434b-a828-9731dc254ea7"
"Storage File Data SMB Share Reader","aba4ae5f-2193-4029-9191-0cb91df5e314"
"Storage Queue Data Contributor","974c5e8b-45b9-4653-ba55-5f855dd0fb88"
"Storage Queue Data Message Processor","8a0f0c08-91a1-4084-bc3d-661d67233fed"
"Storage Queue Data Message Sender","c6a89b2d-59bc-44d0-9896-0f6e12d7b80a"
"Storage Queue Data Reader","19e7f393-937e-4f77-808e-94535e297925"
"Azure Maps Data Contributor","8f5e0ce6-4f7b-4dcf-bddf-e6f48634a204"
"Azure Maps Data Reader","423170ca-a8f6-4b0f-8487-9e4eb8f49bfa"
"Azure Spring Cloud Data Reader","b5537268-8956-4941-a8f0-646150406f0c"
"Search Service Contributor","7ca78c08-252a-4471-8644-bb5ff32d4ba0"
"SignalR AccessKey Reader","04165923-9d83-45d5-8227-78b77b0a687e"
"SignalR App Server (Preview)","420fcaa2-552c-430f-98ca-3264be4806c7"
"SignalR Contributor","8cf5e20a-e4b2-4e9d-b3a1-5ceb692c2761"
"SignalR Serverless Contributor (Preview)","fd53cd77-2268-407a-8f46-7e7863d0f521"
"SignalR Service Owner (Preview)","7e4f1700-ea5a-4f59-8f37-079cfe29dce3"
"SignalR Service Reader (Preview)","ddde6b66-c0df-4114-a159-3618637b3035"
"Web Plan Contributor","2cc479cb-7b4d-49a8-b449-8c00fd0f0a4b"
"Website Contributor","de139f84-1756-47ae-9be6-808fbbe84772"
"AcrDelete","c2f4ef07-c644-48eb-af81-4b1b4947fb11"
"AcrImageSigner","6cef56e8-d556-48e5-a04f-b8e64114680f"
